document1,document2,label,antecedent,
속으로는 도대체 왜 이러는 지도 모르겠고 ,끝까지 싫다고 해서 사진 보내달라고 “그것 한 장도 못 보내 주냐”고 내가 “싫다”고 하니까 “한 장도 안 되냐”고 계속 애원한다는 식으로 계속하는 거예요,,내,
애원하니까 ,"그래 가지고 몸 사진을 속으로는 ‘몸 사진을 내가 왜 보내느냐’고 생각했는데 오빠가 한 장을 보내 달래요. 끝까지 싫다고 해서 사진 보내달라고 “그것 한 장도 못 보내 주냐”고 내가 “싫다”고 하니까 “한 장도 안 되냐”고 계속 애원한다는 식으로 계속하는 거예요
응.
속으로는 도대체 왜 이러는 지도 모르겠고",,오빠,
도로 화가 나는 거예요.,"끝까지 싫다고 해서 사진 보내달라고 “그것 한 장도 못 보내 주냐”고 내가 “싫다”고 하니까 “한 장도 안 되냐”고 계속 애원한다는 식으로 계속하는 거예요
응.
속으로는 도대체 왜 이러는 지도 모르겠고 애원하니까 ",,내,
왜 나한테 애원까지 하면서 내 사진을 달라하는지,"내가 왜 애가, 이 오빠가 왜 이러는지 모르겠고 ",,이 오빠,
사진을 줬는데,"제가 홧김에 제가 사진을 줬어요, 제가.
응.",,제,
그 사진 가지고 협박을 하는 거예요.,"속으로는 도대체 왜 이러는 지도 모르겠고 애원하니까 도로 화가 나는 거예요. 내가 왜 애가, 이 오빠가 왜 이러는지 모르겠고 왜 나한테 애원까지 하면서 내 사진을 달라하는지 저도 화가 나고 그러는 거예요. 제가 홧김에 제가 사진을 줬어요, 제가.
응.
사진을 줬는데",,제,
“니 나한테 사진 있으니까 내가 만나자할 때 안 만나면 이거를 뿌리겠다고 사진을” 그래 가지고,"속으로는 도대체 왜 이러는 지도 모르겠고 애원하니까 도로 화가 나는 거예요. 내가 왜 애가, 이 오빠가 왜 이러는지 모르겠고 왜 나한테 애원까지 하면서 내 사진을 달라하는지 저도 화가 나고 그러는 거예요. 제가 홧김에 제가 사진을 줬어요, 제가.
응.
사진을 줬는데 그 사진 가지고 협박을 하는 거예요.",,이 오빠,
그러니까 그게 너무 무서운 거예요.,"“니 나한테 사진 있으니까 내가 만나자할 때 안 만나면 이거를 뿌리겠다고 사진을” 그래 가지고 저는 그게 무서운 거예요. 그래 가지고 사진 뿌리다보면 엄마, 아빠나 언니, 오빠도 볼 수 있잖아요.",,저,
처음에 애들이랑 놀러가려고 했어요.,그때가 제가 중 3때였는데 중 2 애들이 기말을 좀 늦게 쳤어요. 저희까지 일찍 마쳤어요. 그때 애들 시험기간이라 일찍 마쳐서,,제,
제 친구들 중학교 친구들하고 놀러가려고 했는데,그때가 제가 중 3때였는데 중 2 애들이 기말을 좀 늦게 쳤어요. 저희까지 일찍 마쳤어요. 그때 애들 시험기간이라 일찍 마쳐서 처음에 애들이랑 놀러가려고 했어요. ,,제,
마쳤다고 얘기해줬어요,"제 친구들 중학교 친구들하고 놀러가려고 했는데 연락이 온 거예요, 마쳤냐고.
응.",,제,
마쳤다고 했는데 ,제가 톡이 온 거예요. ,,제,
그래 가지고 내 친구들이랑 놀아야 된다고 했는데,"제가 톡이 온 거예요. 마쳤다고 했는데 잠깐 오래요, 자기 집으로. ",,제,
계속 오래요.,"마쳤다고 했는데 잠깐 오래요, 자기 집으로. 그래 가지고 내 친구들이랑 놀아야 된다고 했는데 ",,자기,
그러니까 돈도 없고 ,그래 가지고 내 친구들이랑 놀아야 된다고 했는데 계속 오래요.,,제,
친구들이랑 놀기로 했다고 했어요.,그래 가지고 내 친구들이랑 놀아야 된다고 했는데 계속 오래요. 그러니까 돈도 없고,,제,
내주겠다고 하고,"그런데 돈 자기가 내주겠대요.
응.",,자기,
친구들이랑 *** 안 된다고 했는데,"그래 가지고 내 친구들이랑 놀아야 된다고 했는데 계속 오래요. 그러니까 돈도 없고 친구들이랑 놀기로 했다고 했어요. 그런데 돈 자기가 내주겠대요.
응.
내주겠다고 하고 ",,내,
계속 오래요 그냥.,"그런데 돈 자기가 내주겠대요.
응.
내주겠다고 하고 친구들이랑 *** 안 된다고 했는데",,자기,
그래서 그냥 갔어요.,"그래 가지고 내 친구들이랑 놀아야 된다고 했는데 계속 오래요. 그러니까 돈도 없고 친구들이랑 놀기로 했다고 했어요. 그런데 돈 자기가 내주겠대요.
응.
내주겠다고 하고 친구들이랑 *** 안 된다고 했는데 계속 오래요 그냥. ",,내,
"안동교에 밑에 있다 미륵교에서 그 밑에 가서 택시타고 갔어요, 그 오빠 집으로.","그래 가지고 내 친구들이랑 놀아야 된다고 했는데 계속 오래요. 그러니까 돈도 없고 친구들이랑 놀기로 했다고 했어요. 그런데 돈 자기가 내주겠대요.
응.
내주겠다고 하고 친구들이랑 *** 안 된다고 했는데 계속 오래요 그냥. 그래서 그냥 갔어요.",,내,
그 오빠 집에 가서,"그래 가지고 내 친구들이랑 놀아야 된다고 했는데 계속 오래요. 그러니까 돈도 없고 친구들이랑 놀기로 했다고 했어요. 그런데 돈 자기가 내주겠대요.
응.
내주겠다고 하고 친구들이랑 *** 안 된다고 했는데 계속 오래요 그냥. 그래서 그냥 갔어요. 안동교에 밑에 있다 미륵교에서 그 밑에 가서 택시타고 갔어요, 그 오빠 집으로.",,내,
그때도 사진으로 협박을 했어요,그 오빠 집에 가서,,그 오빠,
“안 오면 사진 뿌리겠다” 고 그래 가지고,그 오빠 집에 가서 그때도 사진으로 협박을 했어요.,,그 오빠,
사진을 가지고 협박을 하니까,그 오빠 집에 가서 그때도 사진으로 협박을 했어요. “안 오면 사진 뿌리겠다” 고 그래 가지고,,그 오빠,
"이게 하는 게 마지막 이래요, 저보고.","“안 오면 사진 뿌리겠다” 고 그래 가지고 사진을 가지고 협박을 하니까 무서워서 그 오빠 집에 갔는데 저는 이때 마지막 이라고 했거든요, 두 번째 때. ",,그 오빠,
"그래 가지고 속으로 설마, 설마","이게 하는 게 마지막 이래요, 저보고. ",,저,
처음부터 계속 마지막 이라고 했거든.,"“안 오면 사진 뿌리겠다” 고 그래 가지고 사진을 가지고 협박을 하니까 무서워서 그 오빠 집에 갔는데 저는 이때 마지막 이라고 했거든요, 두 번째 때. 이게 하는 게 마지막 이래요, 저보고. 그래 가지고 속으로 설마, 설마",,그 오빠,
"그 말 하지는 않았어요,",안방 들어가서 침대에 앉아서 “왜 자꾸 나를 안 만나려고 하냐” 고 내가 왜 솔직히 만날 이유가 없는데 왜 만나냐고,,내,
속으로 생각하고.,"안방 들어가서 침대에 앉아서 “왜 자꾸 나를 안 만나려고 하냐” 고 내가 왜 솔직히 만날 이유가 없는데 왜 만나냐고 그 말 하지는 않았어요,",,내,
그래 가지고 가만히 있었죠.,"그냥 저는 못 믿겠는 거예요, 그 마지막이라는 말을.",,저,
가만히 있었는데,"그냥 저는 못 믿겠는 거예요, 그 마지막이라는 말을. 그래 가지고 가만히 있었죠.",,저,
그때 입을 다물고 있었어요.,"그냥 저는 못 믿겠는 거예요, 그 마지막이라는 말을. 그래 가지고 가만히 있었죠. 가만히 있었는데 그때 또 키스하는 거예요.
응.",,저,
입 가만히 다물고 있었는데,"그냥 저는 못 믿겠는 거예요, 그 마지막이라는 말을. 그래 가지고 가만히 있었죠. 가만히 있었는데 그때 또 키스하는 거예요.
응.
그때 입을 다물고 있었어요. 입을 맞춰도 ",,저,
계속 가만히 있으니까,입을 맞춰도 입 가만히 다물고 있었는데 입을 떼더니 전 처음에 패딩입고 있었는데 벗으래요. 옷을 다 벗으래요.,,전,
속으로 화가서,입을 맞춰도 입 가만히 다물고 있었는데 입을 떼더니 전 처음에 패딩입고 있었는데 벗으래요. 옷을 다 벗으래요. 계속 가만히 있으니까 또 화내면서 벗으라고 하고,,전,
무슨 니가 하라면 하라는 대로 해야 되는 것도 아닌데,입을 맞춰도 입 가만히 다물고 있었는데 입을 떼더니 전 처음에 패딩입고 있었는데 벗으래요. 옷을 다 벗으래요. 계속 가만히 있으니까 또 화내면서 벗으라고 하고 속으로 화가서,,전,
안 되는 걸 알면서도,입을 맞춰도 입 가만히 다물고 있었는데 입을 떼더니 전 처음에 패딩입고 있었는데 벗으래요. 옷을 다 벗으래요. 계속 가만히 있으니까 또 화내면서 벗으라고 하고 속으로 화가서 무슨 니가 하라면 하라는 대로 해야 되는 것도 아닌데,,전,
또 벗고,입을 맞춰도 입 가만히 다물고 있었는데 입을 떼더니 전 처음에 패딩입고 있었는데 벗으래요. 옷을 다 벗으래요. 계속 가만히 있으니까 또 화내면서 벗으라고 하고 속으로 화가서 무슨 니가 하라면 하라는 대로 해야 되는 것도 아닌데 안 되는 걸 알면서도 저는 또 그걸 하고 있는 거예요. 옷을 벗으라고 하니까 ,,전,
벗고,그런데 저는 그냥 입 가만히 다물고 있었고 이때도 옷 벗으라고 하고 벗으라하니까,,저,
속으로는 안 되는 걸 알면서 ,그런데 저는 그냥 입 가만히 다물고 있었고 이때도 옷 벗으라고 하고 벗으라하니까 벗고,,저,
나는 이미 옷을 벗고 있고,그런데 저는 그냥 입 가만히 다물고 있었고 이때도 옷 벗으라고 하고 벗으라하니까 벗고 속으로는 안 되는 걸 알면서,,저,
침대에 누웠는데,그런데 저는 그냥 입 가만히 다물고 있었고 이때도 옷 벗으라고 하고 벗으라하니까 벗고 속으로는 안 되는 걸 알면서 나는 이미 옷을 벗고 있고 저는 그냥 옷을 벗고 침대에 누우래요. ,,저,
그리고는 넣는 거예요.,"침대에 누웠는데 자기도 옷을 벗고 올라오는 거예요, 제위로.
응.",,자기,
성기를 넣고 나서 하다가 ,"침대에 누웠는데 자기도 옷을 벗고 올라오는 거예요, 제위로.]{3,5,행위} 
응.
그리고는 넣는 거예요.",,자기,
"5분, 10분 정도하다가","침대에 누웠는데 자기도 옷을 벗고 올라오는 거예요, 제위로.]{3,5,행위} 
응.
그리고는 넣는 거예요. 성기를 넣고 나서 하다가",,자기,
그때 끝나고 나서도 마지막이라고 얘기하는 거예요.,"침대에 누웠는데 자기도 옷을 벗고 올라오는 거예요, 제위로.]{3,5,행위} 
응.
그리고는 넣는 거예요. 성기를 넣고 나서 하다가 5분, 10분 정도하다가",,자기,
그렇겠지 하고 속으로 생각하고,나는 대답 안하고,,나,
그렇겠지 하면서도 설마 마지막 이겠나 설마 계속 거짓말이겠지 생각하고,나는 대답 안하고 그렇겠지 하고 속으로 생각하고 ,,나,
혀 들어오고 이런 게 싫었어요.,그러면 그날 이제 거기에서 키스를 할 때 ○○가 그 입을 다물고 있었다고 했었거든 입은 왜 다물고 있었는 건데.,,○○,
너무 싫었어요. ,옷 벗으라고 할 때 ○○는 어떤 생각을 했었어.,,○○,
여기 있기가 싫었어요.,"옷 벗으라고 할 때 ○○는 어떤 생각을 했었어.
너무 싫었어요. ",,○○,
사진으로 협박을 하니까.,그러면 ○○가 이제 이 오빠랑 만나고 싶지 않았다고 그런 식으로 얘기를 해줬는데 왜 만나게 됐던 거야.,,이 오빠,
그냥 안 만나주면 사진 다 뿌리겠다고 ,"그러면 ○○가 이제 이 오빠랑 만나고 싶지 않았다고 그런 식으로 얘기를 해줬는데 왜 만나게 됐던 거야.
사진으로 협박을 하니까.
사진으로 협박을 해서. 
어떤 식으로 협박을 한 건데.",,이 오빠,
"뿌리면 엄마, 아빠도 보고 ","그러면 ○○가 이제 이 오빠랑 만나고 싶지 않았다고 그런 식으로 얘기를 해줬는데 왜 만나게 됐던 거야.
사진으로 협박을 하니까.
사진으로 협박을 해서. 
어떤 식으로 협박을 한 건데.
그냥 안 만나주면 사진 다 뿌리겠다고",,이 오빠,
무서웠어요.,"그러면 ○○가 이제 이 오빠랑 만나고 싶지 않았다고 그런 식으로 얘기를 해줬는데 왜 만나게 됐던 거야.
사진으로 협박을 하니까.
사진으로 협박을 해서. 
어떤 식으로 협박을 한 건데.
그냥 안 만나주면 사진 다 뿌리겠다고 뿌리면 엄마, 아빠도 보고 ",,이 오빠,
“안 만나주면 내가 갖고 있는 니 몸 사진을 뿌리겠다”고.,"그러면 ○○가 이제 이 오빠랑 만나고 싶지 않았다고 그런 식으로 얘기를 해줬는데 왜 만나게 됐던 거야.
사진으로 협박을 하니까.
사진으로 협박을 해서. 
어떤 식으로 협박을 한 건데.
그냥 안 만나주면 사진 다 뿌리겠다고 뿌리면 엄마, 아빠도 보고 무서웠어요.
그랬던 거구나. 그때 그러면 그 사진을 뿌리겠다고 얘기한 거는 정확히 뭐라고 얘기했던 거야.",,이 오빠,
"그래서 김동민한테 안 뜰 것 아니에요, 카톡에.","그런데 제가 김동민 카톡이고 전화번호 싹 다 지웠거든. 
응",,김동민,
안 뜨잖아요.,"그런데 제가 김동민 카톡이고 전화번호 싹 다 지웠거든. 
응
그래서 김동민한테 안 뜰 것 아니에요, 카톡에.",,김동민,
“누구세요” 그랬어요.,"제가 아닌 척을 했어요, 연락하기 싫어서 .
응.",,제,
모르는 번호였거든요. ,"제가 아닌 척을 했어요, 연락하기 싫어서 .
응.
“누구세요” 그랬어요. ",,제,
“누구세요” 하니까,"김동민이 제 휴대폰으로 문자가 온 거예요, “남○○ 맞냐”고. 제가 아닌 척을 했어요, 연락하기 싫어서 .
응.
“누구세요” 그랬어요. 모르는 번호였거든요. 
응.",,제,
"“나, 김동민인데 남○○ 아니야” 이러는 거예요.","김동민이 제 휴대폰으로 문자가 온 거예요, “남○○ 맞냐”고. 제가 아닌 척을 했어요, 연락하기 싫어서 .
응.
“누구세요” 그랬어요. 모르는 번호였거든요. 
응.
“누구세요” 하니까 ",,김동민,
"“니, 카톡 지웠나” 이러니까","“누구세요” 하니까 “나, 김동민인데 남○○ 아니야” 이러는 거예요. 그래서 제가, 내가 뭐라 해야 되는지 몰라서 “맞는데요” 했어요.",,김동민,
그래 가지고 그렇게 얘기하고 ,"“니, 카톡 지웠나” 이러니까 제가 “예” 이랬어요.",,제,
